Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q9
Yes,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Extremely easy,Neither easy nor difficult,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Extremely easy,No,Somewhat difficult,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat difficult,Paper,"Title,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher","Title,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher",Monthly,No change,No change,Increase in confidence,No change,Hindered,No
Yes,Somewhat easy,Somewhat difficult,Somewhat difficult,Extremely difficult,Neither easy nor difficult,Somewhat easy,No,Neither easy nor difficult,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher",Not applicable because notebook had to stay in the lab.,Increase in confidence,No change,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Extremely easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,No change,Helped,Yes
Yes,Extremely easy,Somewhat difficult,Somewhat easy,Neither easy nor difficult,Somewhat easy,Extremely easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,No change,Neither,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat difficult,Extremely difficult,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Neither,Yes
Yes,Extremely easy,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat easy,No,Neither easy nor difficult,Somewhat easy,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Electronic,"Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher,Signature of supervisor",Daily,Increase in confidence,No change,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Yes,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat difficult,Somewhat difficult,Extremely difficult,,Somewhat easy,No,Somewhat difficult,Somewhat easy,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,No change,No change,No change,Neither,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Neither easy nor difficult,Somewhat easy,Extremely difficult,Neither easy nor difficult,Somewhat easy,No,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Neither easy nor difficult,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Paragraph-format discussion,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,No change,Helped,Yes
Yes,Somewhat difficult,Somewhat difficult,Extremely difficult,Extremely difficult,Somewhat difficult,Somewhat difficult,No,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat difficult,Neither easy nor difficult,Extremely difficult,Somewhat difficult,Neither easy nor difficult,No,Somewhat easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,No change,No change,Increase in confidence,Helped,Yes
No,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,No,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Extremely easy,No,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,No change,No change,No change,No change,Hindered,Yes
Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat difficult,Extremely easy,Somewhat easy,Yes,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Neither easy nor difficult,Somewhat difficult,Neither easy nor difficult,Somewhat easy,Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
,,,,,,,,,,,,,,,,,,,,,,,
Yes,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,No,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Somewhat difficult,Extremely difficult,No,Somewhat easy,Neither easy nor difficult,Somewhat difficult,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
