Q2,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q14
Yes,Extremely easy,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Neither easy nor difficult,No,Somewhat difficult,Extremely easy,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Paper,"Title,Description of experimental procedures,Raw data,Description of data,References for original source of protocols","Title,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher",Weekly,Unsure
Yes,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,No,Somewhat easy,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat difficult,Extremely easy,No,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Yes
Yes,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Paper,"Title,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,No,Somewhat easy,Neither easy nor difficult,Somewhat easy,Extremely easy,Somewhat easy,Neither easy nor difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,Unsure,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Yes
Yes,Neither easy nor difficult,Extremely easy,Extremely easy,Neither easy nor difficult,Extremely easy,Somewhat easy,No,Somewhat easy,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher",Not applicable because notebook had to stay in the lab.,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols",Weekly,Yes
Yes,Neither easy nor difficult,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Paper,"Title,Raw data,Description of data","Title,Purpose or goal,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher",Daily,Yes
Yes,Extremely easy,Somewhat easy,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Extremely easy,No,Neither easy nor difficult,Extremely easy,Somewhat easy,Neither easy nor difficult,Extremely easy,Somewhat difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Somewhat difficult,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat difficult,Neither easy nor difficult,Somewhat easy,No,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Unsure
Yes,Extremely easy,Somewhat easy,Somewhat easy,Extremely difficult,Somewhat difficult,Neither easy nor difficult,Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,References for original source of protocols,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat easy,No,Somewhat difficult,Somewhat easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Paper,"Purpose or goal,Description of experimental procedures,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher","Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher",Daily,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Somewhat easy,Somewhat easy,No,Somewhat difficult,Somewhat easy,Neither easy nor difficult,Somewhat easy,Extremely easy,Neither easy nor difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,Somewhat easy,Unsure,Somewhat difficult,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Paper,"Title,Description of experimental procedures,Raw data,References for original source of protocols,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Unsure
Yes,Extremely easy,Somewhat difficult,Extremely easy,Somewhat easy,Somewhat difficult,Somewhat easy,No,Somewhat easy,Neither easy nor difficult,Extremely easy,Somewhat difficult,Neither easy nor difficult,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Extremely easy,Somewhat easy,Somewhat difficult,Somewhat easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Paper,"Title,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor",Daily,Unsure
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,No,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,No
Yes,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Neither easy nor difficult,Somewhat difficult,Somewhat easy,No,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Somewhat easy,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Yes,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,No
Yes,Somewhat easy,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Somewhat easy,No,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Paper,"Purpose or goal,Description of experimental procedures,Raw data,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Somewhat easy,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Extremely easy,Extremely easy,No,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Publication-quality images,Paragraph-format discussion,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,No,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Electronic,"Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion",Not applicable because notebook had to stay in the lab.,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Somewhat difficult,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Paper,"Title,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols",Weekly,Yes
Yes,Extremely easy,Neither easy nor difficult,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Description of experimental procedures,Raw data,Description of data,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Yes
Yes,Extremely easy,Somewhat difficult,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,No,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Unsure
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Description of data,Publication-quality images,Paragraph-format discussion,References for original sources of protocols,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Unsure
Yes,Extremely easy,Somewhat difficult,Neither easy nor difficult,Extremely difficult,Neither easy nor difficult,Neither easy nor difficult,No,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Electronic,"Title,Description of experimental procedures,Raw data,Signature of researcher,Signature of supervisor","Title,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Yes
No,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Extremely easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Paper,"Title,Purpose or goal,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher",Weekly,Yes
Yes,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat difficult,Neither easy nor difficult,Extremely easy,Yes,Somewhat easy,Extremely easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Paper,"Title,Description of experimental procedures,Raw data,Description of data,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Never,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Somewhat difficult,Extremely easy,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Unsure
Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,No,,,,,,,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher",Never,Unsure
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,No,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Paper,"Title,Description of experimental procedures,Description of data,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Unsure
,,,,,,,,,,,,,,,,,,
Yes,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,,,,,
Yes,Somewhat easy,Somewhat easy,Extremely easy,Somewhat difficult,Somewhat easy,Extremely easy,No,Somewhat easy,Extremely easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,,,,,
No,Somewhat easy,Extremely easy,,Somewhat easy,Somewhat easy,Somewhat easy,Yes,Neither easy nor difficult,Somewhat easy,Neither easy nor difficult,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,,,,,
Yes,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Somewhat easy,Extremely easy,,,,,,,,,,,,
