Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q20,Q6,Q7,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q9
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely difficult,Extremely difficult,Somewhat easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Electronic,I like having it available at all times since my computer is always with me. I also like that it saves paper.,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Decrease in confidence,Increase in confidence,Increase in confidence,Neither,Unsure
Yes,Somewhat difficult,Somewhat difficult,Somewhat difficult,Extremely difficult,Somewhat difficult,Neither easy nor difficult,No,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Neither easy nor difficult,Electronic,"Easier to include observations and data as the project progresses, easy to insert figures, easy to find protocol and data","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Electronic,"Electronic gives an organization feel that sometimes is overlooked in paper format. Also, the reduction of paper and scattering of data sets are virtually eliminated with electronic notebooks.","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Increase in confidence,Increase in confidence,No change,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Eliminates handwriting challenges
Can find/ reference previous work easily
Very organized
Cheaper eliminating paper and ink","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,No change,No change,No change,No change,Helped,Yes
Yes,Extremely easy,Extremely easy,,Somewhat difficult,Somewhat difficult,Somewhat easy,Yes,Somewhat difficult,Somewhat easy,Extremely easy,Somewhat difficult,Extremely easy,Somewhat easy,Electronic,"The electronic notebook makes access to protocols and information very easy. It also makes retrieving the information latter helpful. That said, some of the bugs do deter from this style quite a bit.","Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Increase in confidence,No change,No change,Increase in confidence,Neither,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Somewhat easy,No,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,It's nice to be able to access work outside the lab setting. ,"Description of experimental procedures,Raw data,Description of data","Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols",Not applicable because notebook had to stay in the lab.,Increase in confidence,No change,No change,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat difficult,Extremely difficult,Somewhat easy,No,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,cheaper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,Yes,Somewhat difficult,Somewhat easy,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Somewhat difficult,Paper,"The electronic notebook is finicky. I'm not able to have multiple pages open, say a page to type down results and another just on the protocol, without it signing me out of both pages. I have to convert data figures to PDF first or else they don't upload right. I also cannot easily take the ELN around the lab with me when I'm working with a separate piece of equipment that is not located on my bench. This is difficult if I'm unfamiliar with the equipment and want to make sure I'm following the protocol and if I'm trying to record any output that equipment gives me. So I'm forced to use a paper medium any.","Title,Description of experimental procedures,Raw data,Description of data,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,No change,No change,No change,Hindered,No
Yes,Somewhat easy,Somewhat easy,Extremely easy,Somewhat difficult,Somewhat difficult,Somewhat easy,No,Somewhat difficult,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"An electronic lab notebook allows me to keep detailed and extensive research notes in much less time than a paper notebook. It's very time effective, and I like having the ease of access.","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols",Weekly,Increase in confidence,No change,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Neither easy nor difficult,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat difficult,No,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Electronic,ELN gave much easier access to protocols and provided an easy way to find data and explanations. In general it was much more convenient for lab reports and production of graphs/tales etc.,"Title,Purpose or goal,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor",Weekly,Increase in confidence,No change,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Somewhat easy,Extremely difficult,Somewhat easy,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,The electronic notebook allowed me to be more organized throughout the course. ,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Extremely difficult,Somewhat difficult,Somewhat easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Electronic,"Electronic: because I can copy and paste, organize into folders how I want, and access it anywhere","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,References for original source of protocols,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of supervisor",Weekly,Increase in confidence,No change,Increase in confidence,No change,Helped,Yes
Yes,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat difficult,Extremely difficult,Neither easy nor difficult,Yes,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Electronic,I would choose an electronic lab notebook because it is a more sustainable practice. It is also easier to record and look up old data. It is also easier to share your lab notebook with others. ,"Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Purpose or goal,Raw data,Description of data,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Extremely easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Unsure,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,,,,,,,,,,,
